direction,threshold,fold,n_trades,win_rate,pf,expectancy_r,net_r,max_dd_r,roc_auc
LONG,0.55,1,817,0.3293,0.9251,-0.0522,-42.68,134.4800000000001,0.509213908528102
LONG,0.55,2,321,0.4393,1.4763,0.2778,89.16,62.040000000000695,0.5369999573065393
LONG,0.55,3,322,0.4099,1.3093,0.1898,61.12,38.919999999999916,0.5556361241936238
LONG,0.55,4,803,0.3151,0.8669,-0.0948,-76.12,200.44000000000037,0.5409198355667092
LONG,0.55,5,265,0.3585,1.0532,0.0355,9.4,42.43999999999998,0.5114653552674002
LONG,0.6,1,621,0.3462,0.998,-0.0014,-0.84,103.87999999999987,0.509213908528102
LONG,0.6,2,204,0.4314,1.4297,0.2541,51.84,56.920000000000094,0.5369999573065393
LONG,0.6,3,187,0.4813,1.7486,0.4039,75.52,24.87999999999996,0.5556361241936238
LONG,0.6,4,601,0.3062,0.8316,-0.1215,-73.04,157.40000000000092,0.5409198355667092
LONG,0.6,5,169,0.3432,0.9848,-0.0104,-1.76,39.199999999999974,0.5114653552674002
LONG,0.65,1,478,0.3452,0.9935,-0.0044,-2.12,86.39999999999989,0.509213908528102
LONG,0.65,2,146,0.4452,1.5123,0.2956,43.16,42.920000000000016,0.5369999573065393
LONG,0.65,3,95,0.4632,1.6259,0.3495,33.2,11.8,0.5556361241936238
LONG,0.65,4,410,0.3049,0.8266,-0.1254,-51.4,113.04000000000053,0.5409198355667092
LONG,0.65,5,99,0.3232,0.9001,-0.0703,-6.96,35.47999999999998,0.5114653552674002
LONG,0.7,1,349,0.3811,1.1604,0.1033,36.04,59.23999999999996,0.509213908528102
LONG,0.7,2,110,0.4364,1.4591,0.2691,29.6,28.239999999999952,0.5369999573065393
LONG,0.7,3,55,0.5818,2.6221,0.7055,38.8,9.48,0.5556361241936238
LONG,0.7,4,224,0.308,0.839,-0.1159,-25.96,62.719999999999864,0.5409198355667092
LONG,0.7,5,46,0.3913,1.2115,0.1339,6.16,19.75999999999999,0.5114653552674002
