metric,good_mean,bad_mean,pct_diff,abs_diff
mtf_alignment_score,-0.044444444444444446,0.6083129584352078,1468.7041564792175,0.6527574028796522
mtf_alignment_duration,-1.5136104319478403,11.501140994295028,859.8481585181995,13.014751426242869
dist_sma_m5_200,-0.18599030480847598,0.33143055876120614,278.19776095452806,0.5174208635696821
slope_sma_h1_200,3.782265688671555e-05,0.00012765745721271394,237.5158376500807,8.983480032599838e-05
atr_m5,0.0004092627546862266,0.00038303300733496333,-6.409023799728149,-2.6229747351263295e-05
bb_width,4.548103883564248,4.375072921271394,-3.804463722083093,-0.17303096229285408
di_plus_m5,22.49743735452323,21.879791674409127,-2.7454046004485066,-0.6176456801141015
di_minus_m5,22.171761034121165,21.754262868541158,-1.8830176138805537,-0.41749816558000674
adx_m5,24.08324240336865,24.46534173732681,1.5865776192358252,0.3820993339581591
rsi_m5,50.373417229828846,50.542857877750606,0.33636917493345175,0.1694406479217605
