entry_idx,entry_time,entry_atr,entry_p_win,exit_idx,exit_time,bars_held,outcome,exit_reason,exit_p_win,r_value,month
541,2025-10-02 21:05:00,0.000281,0.6560585791542523,588,2025-10-03 01:00:00,47,win,TP,0.23118357586828775,2.964,2025-10
8605,2025-11-11 22:05:00,0.000179,0.7035761357469897,8639,2025-11-12 00:55:00,34,loss,SL,0.29645724000173623,-1.036,2025-11
11772,2025-11-26 22:00:00,0.000186,0.7094629134205215,11784,2025-11-26 23:00:00,12,win,TP,0.26601287303204146,2.964,2025-11
12061,2025-11-27 22:05:00,0.000113,0.6544398938459745,12072,2025-11-27 23:00:00,11,win,TP,0.20666950125801403,2.964,2025-11
12348,2025-11-30 22:00:00,0.000221,0.7234176136661691,12360,2025-11-30 23:00:00,12,win,TP,0.19885084681888476,2.964,2025-11
12636,2025-12-01 22:00:00,0.000128,0.7036953140544264,12664,2025-12-02 00:20:00,28,loss,SL,0.2055773895580892,-1.036,2025-12
16956,2025-12-22 22:00:00,0.000207,0.6847348893749101,16968,2025-12-22 23:00:00,12,win,TP,0.15811535601174803,2.964,2025-12
23857,2026-01-27 22:40:00,0.000504,0.6801994974860173,23862,2026-01-27 23:05:00,5,loss,SL,0.5626466701042242,-1.036,2026-01
24712,2026-01-30 21:55:00,0.000349,0.765604179638969,24724,2026-02-01 22:55:00,12,loss,SL,0.5034029474875132,-1.036,2026-01
25001,2026-02-02 22:00:00,0.000259,0.6855089633667295,25015,2026-02-02 23:10:00,14,win,TP,0.19661714051667467,2.964,2026-02
25289,2026-02-03 22:00:00,0.000259,0.7328370132169741,25313,2026-02-04 00:00:00,24,loss,SL,0.36304357430443407,-1.036,2026-02
26153,2026-02-08 22:00:00,0.000208,0.6823540437309153,26165,2026-02-08 23:00:00,12,win,TP,0.38050157476470464,2.964,2026-02
26729,2026-02-10 22:00:00,0.000206,0.755156130326154,26753,2026-02-11 00:00:00,24,loss,SL,0.3642491618186665,-1.036,2026-02
27017,2026-02-11 22:00:00,0.000255,0.689430169100114,27061,2026-02-12 01:40:00,44,win,TP,0.281973093335147,2.964,2026-02
28008,2026-02-17 08:35:00,0.000342,0.6564624353859517,28048,2026-02-17 11:55:00,40,loss,SL,0.3038810565290502,-1.036,2026-02
28169,2026-02-17 22:00:00,0.000192,0.6811819189340522,28204,2026-02-18 00:55:00,35,loss,SL,0.39263314092549784,-1.036,2026-02
30185,2026-02-26 22:00:00,0.000224,0.7191442245212526,30209,2026-02-27 00:00:00,24,win,TP,0.22686073270917584,2.964,2026-02
30762,2026-03-02 22:05:00,0.000266,0.683909063187741,30776,2026-03-02 23:15:00,14,win,TP,0.32015025361752514,2.964,2026-03
31049,2026-03-03 22:00:00,0.000251,0.7161074100291566,31073,2026-03-04 00:00:00,24,loss,SL,0.3304653375949246,-1.036,2026-03
31337,2026-03-04 22:00:00,0.000246,0.8495290943094684,31349,2026-03-04 23:00:00,12,win,TP,0.47092564049509333,2.964,2026-03
31952,2026-03-09 00:15:00,0.00054,0.6679652451341237,31961,2026-03-09 01:00:00,9,loss,SL,0.5797942847524149,-1.036,2026-03
32282,2026-03-10 03:45:00,0.000306,0.6840146746163448,32309,2026-03-10 06:00:00,27,win,TP,0.3169837080379255,2.964,2026-03
32762,2026-03-11 19:45:00,0.000259,0.6633783319125536,32772,2026-03-11 20:35:00,10,loss,SL,0.32671596756875987,-1.036,2026-03
32787,2026-03-11 21:50:00,0.000125,0.6872166268101751,32788,2026-03-11 21:55:00,1,win,TP,0.3330334912655663,2.964,2026-03
33076,2026-03-12 21:55:00,0.000124,0.7228125021582338,33082,2026-03-12 22:25:00,6,win,TP,0.07366299016659271,2.964,2026-03
33329,2026-03-13 19:00:00,0.000324,0.6736724889255898,33331,2026-03-13 19:10:00,2,loss,SL,0.7476541079088436,-1.036,2026-03
33331,2026-03-13 19:10:00,0.000331,0.7476541079088436,33338,2026-03-13 19:45:00,7,loss,SL,0.6341942977051864,-1.036,2026-03
